pid,workload,interval,nbackAccuracy,adAccuracy
4,low,0.0,93.33333333333333,100.0
4,high,1.0,83.33333333333334,72.72727272727273
5,low,0.0,90.0,57.14285714285714
5,high,1.0,85.71428571428571,83.33333333333334
5,low,2.0,80.0,100.0
5,high,3.0,100.0,77.77777777777779
5,low,4.0,92.85714285714286,100.0
5,high,5.0,71.42857142857143,64.28571428571429
5,low,6.0,100.0,55.55555555555556
5,high,7.0,94.11764705882352,100.0
5,low,8.0,90.9090909090909,75.0
5,high,9.0,91.66666666666666,82.35294117647058
7,low,0.0,100.0,100.0
7,high,1.0,90.9090909090909,80.0
7,low,2.0,93.33333333333333,57.14285714285714
7,high,3.0,100.0,88.88888888888889
7,low,4.0,100.0,80.0
7,high,5.0,92.85714285714286,70.0
7,low,6.0,100.0,75.0
7,high,7.0,100.0,100.0
7,low,8.0,100.0,81.81818181818183
9,low,0.0,100.0,100.0
9,high,1.0,81.81818181818183,75.0
9,low,2.0,100.0,70.0
9,high,3.0,100.0,80.0
9,low,4.0,100.0,83.33333333333334
9,high,5.0,100.0,83.33333333333334
9,low,6.0,100.0,80.0
9,high,7.0,90.0,60.0
9,low,8.0,91.66666666666666,64.28571428571429
9,high,9.0,100.0,91.66666666666666
9,low,10.0,91.66666666666666,77.77777777777779
9,high,11.0,90.0,60.0
9,low,12.0,100.0,90.0
10,low,6.0,100.0,80.95238095238095
10,high,7.0,100.0,80.0
10,low,8.0,90.9090909090909,84.21052631578947
10,high,9.0,100.0,82.14285714285714
10,low,10.0,100.0,85.71428571428571
10,high,11.0,85.71428571428571,79.3103448275862
10,low,12.0,100.0,95.65217391304348
10,high,13.0,100.0,89.47368421052632
10,low,14.0,87.5,86.36363636363636
10,high,15.0,100.0,68.42105263157895
10,low,16.0,87.5,100.0
11,high,1.0,100.0,78.57142857142857
11,low,2.0,100.0,78.94736842105263
11,high,3.0,88.88888888888889,82.6086956521739
11,low,4.0,90.0,82.35294117647058
11,high,5.0,100.0,82.6086956521739
11,low,6.0,100.0,84.0
11,high,7.0,100.0,88.0
11,low,8.0,100.0,77.77777777777779
11,high,9.0,100.0,81.81818181818183
11,low,10.0,100.0,76.0
11,high,11.0,100.0,73.07692307692307
11,low,12.0,88.88888888888889,80.64516129032258
11,high,13.0,100.0,81.25
11,low,14.0,90.0,67.64705882352942
11,high,15.0,100.0,100.0
12,high,1.0,100.0,80.95238095238095
12,low,2.0,100.0,94.11764705882352
12,high,3.0,100.0,85.0
12,low,4.0,100.0,84.21052631578947
12,high,5.0,85.71428571428571,85.71428571428571
12,low,6.0,100.0,84.21052631578947
12,high,7.0,100.0,96.0
12,low,8.0,100.0,93.75
13,high,3.0,100.0,80.0
13,low,4.0,100.0,100.0
13,high,5.0,100.0,61.53846153846154
13,low,6.0,100.0,100.0
13,high,7.0,100.0,93.75
13,low,8.0,100.0,88.88888888888889
13,high,9.0,100.0,100.0
13,low,10.0,100.0,93.75
13,high,11.0,85.71428571428571,88.23529411764706
13,low,12.0,100.0,93.33333333333333
13,high,13.0,100.0,66.66666666666666
13,low,14.0,90.0,84.61538461538461
